goid,gid
GO:0009331,ATCC64974_27050-T1
GO:0055114,ATCC64974_27050-T1
GO:0004367,ATCC64974_27050-T1
GO:0006072,ATCC64974_27050-T1
GO:0005975,ATCC64974_27050-T1
GO:0042803,ATCC64974_27050-T1
GO:0051287,ATCC64974_27050-T1
GO:0016491,ATCC64974_27050-T1
GO:0046168,ATCC64974_27050-T1
GO:0016616,ATCC64974_27050-T1
GO:0016491,ATCC64974_22330-T1
GO:0055114,ATCC64974_22330-T1
GO:0006486,ATCC64974_29060-T1
GO:0016757,ATCC64974_29060-T1
GO:0005634,ATCC64974_24230-T1
GO:0008270,ATCC64974_24230-T1
GO:0003677,ATCC64974_24230-T1
GO:0006351,ATCC64974_24230-T1
GO:0006355,ATCC64974_24230-T1
GO:0000981,ATCC64974_24230-T1
GO:0045454,ATCC64974_27170-T1
GO:0005524,ATCC64974_21200-T1
GO:0016491,ATCC64974_21080-T1
GO:0055114,ATCC64974_21080-T1
GO:0071949,ATCC64974_21080-T1
GO:0046416,ATCC64974_21080-T1
GO:0003884,ATCC64974_21080-T1
GO:0006270,ATCC64974_24200-T1
GO:0051301,ATCC64974_24200-T1
GO:0005524,ATCC64974_24200-T1
GO:0016788,ATCC64974_20990-T1
GO:0003677,ATCC64974_20950-T1
GO:0006270,ATCC64974_20950-T1
GO:0042555,ATCC64974_20950-T1
GO:0005524,ATCC64974_20950-T1
GO:0006260,ATCC64974_20950-T1
GO:0051603,ATCC64974_24510-T1
GO:0005839,ATCC64974_24510-T1
GO:0004175,ATCC64974_24510-T1
GO:0004298,ATCC64974_24510-T1
GO:0055114,ATCC64974_26340-T1
GO:0055114,ATCC64974_30240-T1
GO:0016491,ATCC64974_30240-T1
GO:0055114,ATCC64974_24530-T1
GO:0016972,ATCC64974_24530-T1
GO:0055085,ATCC64974_28900-T1
GO:0005887,ATCC64974_28900-T1
GO:0003677,ATCC64974_30550-T1
GO:0006303,ATCC64974_30550-T1
GO:0042162,ATCC64974_30550-T1
GO:0043564,ATCC64974_30550-T1
GO:0005634,ATCC64974_30550-T1
GO:0000723,ATCC64974_30550-T1
GO:0003684,ATCC64974_30550-T1
GO:0003678,ATCC64974_30550-T1
GO:0005515,ATCC64974_20550-T1
GO:0005515,ATCC64974_20820-T1
GO:0005840,ATCC64974_20820-T1
GO:0003735,ATCC64974_20820-T1
GO:0006412,ATCC64974_20820-T1
GO:0008270,ATCC64974_22870-T1
GO:0006355,ATCC64974_22870-T1
GO:0000981,ATCC64974_22870-T1
