DOWN,UP
ATCC64974_59500-T1,ATCC64974_10390-T1
ATCC64974_96290-T1,ATCC64974_16280-T1
ATCC64974_10130-T1,ATCC64974_31890-T1
ATCC64974_107660-T1,ATCC64974_37410-T1
ATCC64974_110740-T1,ATCC64974_60930-T1
ATCC64974_24840-T1,ATCC64974_96950-T1
ATCC64974_2390-T1,ATCC64974_104110-T1
ATCC64974_5960-T1,ATCC64974_87510-T1
ATCC64974_3100-T1,ATCC64974_18890-T1
ATCC64974_64590-T1,ATCC64974_54070-T1
ATCC64974_19750-T1,ATCC64974_110820-T1
ATCC64974_1270-T1,ATCC64974_101230-T1
ATCC64974_32080-T1,ATCC64974_49700-T1
ATCC64974_109620-T1,ATCC64974_89850-T1
ATCC64974_30380-T1,ATCC64974_21590-T1
ATCC64974_26430-T1,ATCC64974_61160-T1
ATCC64974_78130-T1,ATCC64974_75690-T1
ATCC64974_14380-T1,ATCC64974_62440-T1
ATCC64974_34600-T1,ATCC64974_24790-T1
ATCC64974_34060-T1,ATCC64974_25040-T1
ATCC64974_56230-T1,ATCC64974_53650-T1
ATCC64974_66420-T1,ATCC64974_79460-T1
ATCC64974_7340-T1,ATCC64974_13820-T1
ATCC64974_88020-T1,ATCC64974_23960-T1
ATCC64974_63310-T1,ATCC64974_5770-T1
ATCC64974_90250-T1,ATCC64974_46560-T1
ATCC64974_35200-T1,ATCC64974_52740-T1
ATCC64974_80890-T1,ATCC64974_107900-T1
ATCC64974_34920-T1,ATCC64974_105890-T1
ATCC64974_2610-T1,ATCC64974_53370-T1
ATCC64974_29570-T1,ATCC64974_94860-T1
ATCC64974_100690-T1,ATCC64974_100420-T1
ATCC64974_6820-T1,ATCC64974_23390-T1
ATCC64974_63650-T1,ATCC64974_49910-T1
ATCC64974_35210-T1,ATCC64974_38090-T1
ATCC64974_90930-T1,ATCC64974_54930-T1
ATCC64974_99860-T1,ATCC64974_19730-T1
ATCC64974_48980-T1,ATCC64974_87920-T1
ATCC64974_61470-T1,ATCC64974_38340-T1
ATCC64974_57850-T1,ATCC64974_68670-T1
ATCC64974_79620-T1,ATCC64974_68020-T1
ATCC64974_18040-T1,ATCC64974_102070-T1
ATCC64974_24180-T1,ATCC64974_69070-T1
ATCC64974_33590-T1,ATCC64974_17370-T1
ATCC64974_1880-T1,ATCC64974_54420-T1
ATCC64974_78380-T1,ATCC64974_41830-T1
ATCC64974_1520-T1,ATCC64974_44910-T1
ATCC64974_108470-T1,ATCC64974_41920-T1
ATCC64974_102350-T1,ATCC64974_90190-T1
ATCC64974_75730-T1,ATCC64974_82290-T1
ATCC64974_85580-T1,ATCC64974_97280-T1
ATCC64974_79280-T1,ATCC64974_58120-T1
ATCC64974_30110-T1,ATCC64974_83400-T1
ATCC64974_74470-T1,ATCC64974_30580-T1
ATCC64974_67940-T1,ATCC64974_9890-T1
ATCC64974_96720-T1,ATCC64974_45720-T1
ATCC64974_43370-T1,ATCC64974_65080-T1
ATCC64974_15690-T1,ATCC64974_75250-T1
ATCC64974_14700-T1,ATCC64974_87360-T1
ATCC64974_110040-T1,ATCC64974_60980-T1
ATCC64974_111300-T1,ATCC64974_27640-T1
ATCC64974_33340-T1,ATCC64974_37340-T1
ATCC64974_58880-T1,ATCC64974_10400-T1
ATCC64974_83070-T1,ATCC64974_60060-T1
ATCC64974_18250-T1,ATCC64974_58470-T1
ATCC64974_72990-T1,ATCC64974_33260-T1
ATCC64974_89970-T1,ATCC64974_110960-T1
ATCC64974_83050-T1,ATCC64974_24800-T1
ATCC64974_83260-T1,ATCC64974_20900-T1
ATCC64974_10730-T1,ATCC64974_100840-T1
ATCC64974_4330-T1,ATCC64974_105010-T1
ATCC64974_96680-T1,ATCC64974_65490-T1
ATCC64974_11230-T1,ATCC64974_19060-T1
ATCC64974_97000-T1,ATCC64974_38510-T1
ATCC64974_94280-T1,ATCC64974_88630-T1
ATCC64974_5410-T1,ATCC64974_107890-T1
ATCC64974_5950-T1,ATCC64974_70710-T1
ATCC64974_6180-T1,ATCC64974_76560-T1
ATCC64974_42100-T1,ATCC64974_86220-T1
ATCC64974_70780-T1,ATCC64974_81300-T1
ATCC64974_19030-T1,ATCC64974_52710-T1
ATCC64974_74910-T1,ATCC64974_101240-T1
ATCC64974_26400-T1,ATCC64974_27470-T1
ATCC64974_86250-T1,ATCC64974_78070-T1
ATCC64974_88670-T1,ATCC64974_109350-T1
ATCC64974_2540-T1,ATCC64974_108370-T1
ATCC64974_98680-T1,ATCC64974_20150-T1
ATCC64974_34050-T1,ATCC64974_21640-T1
ATCC64974_44650-T1,ATCC64974_54850-T1
